open_time,open,high,low,close,volume
2025-07-15 00:00:00,3054.19,3054.19,3050.27,3050.27,4.968
2025-07-15 00:01:00,3049.82,3050.66,3049.82,3050.6,0.363
2025-07-15 00:02:00,3051.2,3051.56,3051.2,3051.56,0.098
2025-07-15 00:03:00,3050.68,3051.5,3050.68,3051.19,0.144
2025-07-15 00:04:00,3050.41,3050.45,3049.24,3049.29,0.208
2025-07-15 00:05:00,3049.34,3049.35,3047.35,3047.77,0.514
2025-07-15 00:06:00,3047.57,3050.19,3047.57,3050.19,0.862
2025-07-15 00:07:00,3049.54,3049.62,3049.53,3049.53,0.029
2025-07-15 00:08:00,3048.67,3049.88,3048.67,3049.88,0.021
2025-07-15 00:09:00,3049.2,3050.88,3049.2,3050.08,1.468
2025-07-15 00:10:00,3050.39,3050.39,3049.03,3049.51,0.094
2025-07-15 00:11:00,3051.32,3051.32,3051.32,3051.32,0.446
2025-07-15 00:12:00,3050.75,3050.89,3049.29,3049.64,0.897
2025-07-15 00:13:00,3049.15,3049.17,3047.36,3047.64,0.049
2025-07-15 00:14:00,3047.87,3048.49,3047.0,3047.0,0.104
2025-07-15 00:15:00,3046.12,3048.43,3045.69,3048.43,0.495
2025-07-15 00:16:00,3048.82,3048.82,3048.18,3048.18,0.091
2025-07-15 00:17:00,3046.2,3047.36,3046.2,3047.36,0.097
2025-07-15 00:18:00,3048.11,3048.21,3047.46,3048.21,0.083
2025-07-15 00:19:00,3049.26,3049.41,3048.7,3049.41,0.042
2025-07-15 00:20:00,3048.19,3048.19,3048.18,3048.18,0.01
2025-07-15 00:21:00,3048.11,3048.85,3048.11,3048.85,0.009
2025-07-15 00:22:00,3049.4,3053.21,3049.4,3053.19,3.228
2025-07-15 00:23:00,3052.55,3057.69,3052.55,3057.69,0.814
2025-07-15 00:24:00,3056.41,3056.41,3056.23,3056.23,0.081
2025-07-15 00:25:00,3056.86,3061.55,3056.86,3059.67,1.401
2025-07-15 00:26:00,3059.05,3059.69,3057.57,3059.59,20.181
2025-07-15 00:27:00,3061.21,3063.76,3061.02,3063.76,1.151
2025-07-15 00:28:00,3063.22,3063.22,3061.23,3061.23,5.022
2025-07-15 00:29:00,3061.65,3061.65,3059.58,3059.58,0.16
2025-07-15 00:30:00,3059.43,3059.75,3057.27,3057.27,0.077
2025-07-15 00:31:00,3056.25,3057.62,3056.05,3057.62,0.076
2025-07-15 00:32:00,3057.26,3057.26,3056.0,3056.0,0.012
2025-07-15 00:33:00,3053.61,3055.29,3053.61,3054.02,0.375
2025-07-15 00:34:00,3052.24,3052.88,3050.0,3050.0,4.099
2025-07-15 00:35:00,3050.01,3050.01,3048.0,3048.0,8.028
2025-07-15 00:36:00,3047.27,3048.37,3047.16,3048.12,0.589
2025-07-15 00:37:00,3047.86,3048.03,3045.77,3048.03,0.389
2025-07-15 00:38:00,3048.13,3048.78,3047.53,3048.54,0.603
2025-07-15 00:39:00,3048.84,3049.23,3048.84,3049.23,0.039
2025-07-15 00:40:00,3046.25,3046.78,3040.72,3040.93,11.602
2025-07-15 00:41:00,3040.44,3041.43,3036.79,3039.12,34.787
2025-07-15 00:42:00,3038.31,3039.04,3033.23,3036.86,11.115
2025-07-15 00:43:00,3036.36,3040.58,3036.36,3038.81,0.142
2025-07-15 00:44:00,3038.81,3038.81,3037.39,3037.39,0.771
2025-07-15 00:45:00,3037.31,3040.28,3036.83,3039.82,4.464
2025-07-15 00:46:00,3039.06,3039.06,3035.8,3035.8,0.892
2025-07-15 00:47:00,3035.37,3035.37,3029.9,3030.58,22.113
